Speaker,Workshop,Date,Time
Sara Hooker,https://regulatableml.github.io/,2025-12-07,Not sure
Gary Howarth,https://regulatableml.github.io/,2025-12-07,Not sure
Bo Li,https://regulatableml.github.io/,2025-12-07,Not sure
Lucilla Sioli,https://regulatableml.github.io/,2025-12-07,Not sure

Michael Felsberg,https://sites.google.com/view/l2s-workshop/home,2025-12-07,8:40–9:20
Daisuke Iso,https://sites.google.com/view/l2s-workshop/home,2025-12-07,10:00–10:40
Hyung-Sin Kim,https://sites.google.com/view/l2s-workshop/home,2025-12-07,10:40–11:20
Avideh Zakhor,https://sites.google.com/view/l2s-workshop/home,2025-12-07,14:30–15:10
Michael S. Brown,https://sites.google.com/view/l2s-workshop/home,2025-12-07,15:45–16:25

Subbarao Kambhampati,https://marworkshop.github.io/neurips25/,2025-12-07,Not sure
Yu Cheng,https://marworkshop.github.io/neurips25/,2025-12-07,Not sure
Noah Goodman,https://marworkshop.github.io/neurips25/,2025-12-07,Not sure
Max Tegmark,https://marworkshop.github.io/neurips25/,2025-12-07,Not sure
Zihui (Sherry) Xue,https://marworkshop.github.io/neurips25/,2025-12-07,Not sure
Alexander Toshev,https://marworkshop.github.io/neurips25/,2025-12-07,Not sure
Lindsey Li,https://marworkshop.github.io/neurips25/,2025-12-07,Not sure

Dan Yamins,https://data-brain-mind.github.io/,2025-12-07,Not sure
Ila Fiete,https://data-brain-mind.github.io/,2025-12-07,Not sure
Laura Gwilliams,https://data-brain-mind.github.io/,2025-12-07,Not sure
Cengiz Pehlevan,https://data-brain-mind.github.io/,2025-12-07,Not sure
Rajesh Rao,https://data-brain-mind.github.io/,2025-12-07,Not sure
Bria Long,https://data-brain-mind.github.io/,2025-12-07,Not sure

Surbhi Goel,https://transformerstheory.github.io/,2025-12-07,Not sure
Jon Kleinberg,https://transformerstheory.github.io/,2025-12-07,Not sure
William Merrill,https://transformerstheory.github.io/,2025-12-07,Not sure

Edward Choi,https://timeseries4health.github.io/,2025-12-07,8:40–9:15
Anna Goldenberg,https://timeseries4health.github.io/,2025-12-07,9:15–9:50
Daniel McDuff,https://timeseries4health.github.io/,2025-12-07,10:50–11:25
Emily B. Fox,https://timeseries4health.github.io/,2025-12-07,11:25–12:00
Mathew McDermott,https://timeseries4health.github.io/,2025-12-07,12:00–12:35
Jaya Narain,https://timeseries4health.github.io/,2025-12-07,2:35–3:10
Xi Zhang,https://timeseries4health.github.io/,2025-12-07,3:10–3:45

James McClelland,https://coginterp.github.io/neurips2025/,2025-12-07,Not sure
Christopher Potts,https://coginterp.github.io/neurips2025/,2025-12-07,Not sure
Stephanie Chan,https://coginterp.github.io/neurips2025/,2025-12-07,Not sure
Mariya Toneva,https://coginterp.github.io/neurips2025/,2025-12-07,Not sure
Ari Holtzman,https://coginterp.github.io/neurips2025/,2025-12-07,Not sure
Sydney Levine,https://coginterp.github.io/neurips2025/,2025-12-07,Not sure

Chris Olah,https://mechinterpworkshop.com/,2025-12-07,Not sure
Been Kim,https://mechinterpworkshop.com/,2025-12-07,Not sure
Sarah Schwettmann,https://mechinterpworkshop.com/,2025-12-07,Not sure

Zeynep Akata,https://sites.google.com/view/ccfm-neurips2025,2025-12-07,Not sure
Rahaf Aljundi,https://sites.google.com/view/ccfm-neurips2025,2025-12-07,Not sure
Christopher Kanan,https://sites.google.com/view/ccfm-neurips2025,2025-12-07,Not sure
Irina Rish,https://sites.google.com/view/ccfm-neurips2025,2025-12-07,Not sure
Ludwig Schmidt,https://sites.google.com/view/ccfm-neurips2025,2025-12-07,Not sure

SueYeon Chung,https://www.neurreps.org/,2025-12-07,Not sure
Surya Ganguli,https://www.neurreps.org/,2025-12-07,Not sure
Max Tegmark,https://www.neurreps.org/,2025-12-07,Not sure
Katrin Franke,https://www.neurreps.org/,2025-12-07,Not sure
Bastian Rieck,https://www.neurreps.org/,2025-12-07,Not sure
Razvan Pascanu,https://www.neurreps.org/,2025-12-07,Not sure
